id,status_group
46006,non functional
35531,non functional
40750,non functional
6313,functional
21428,non functional
7928,non functional
19845,functional
58269,functional
44584,functional
61946,functional
7328,non functional
67261,non functional
42618,functional needs repair
10037,functional
8167,functional needs repair
9170,non functional
49932,functional needs repair
44465,non functional
18442,non functional
36956,functional
23039,functional needs repair
36674,functional
73306,functional
56287,non functional
10197,functional
21884,functional
6736,functional
70931,non functional
41295,functional
40564,non functional
20108,functional
6003,non functional
30422,non functional
66525,non functional
11667,non functional
25089,functional
25776,non functional
16881,functional needs repair
22438,functional
36263,functional
44885,non functional
32513,functional
69335,non functional
42386,non functional
57597,functional
13567,functional
13452,functional
72000,functional
66033,functional
36338,functional
11468,non functional
29277,non functional
18145,functional
20512,non functional
56999,functional
12339,non functional
31923,functional
71749,functional
56282,non functional
49360,functional
17542,functional
68500,functional
43608,non functional
62365,non functional
14025,functional
15065,non functional
22309,non functional
7072,non functional
28043,functional
8660,non functional
22927,non functional
3702,functional
63090,non functional
57851,functional
9720,functional
5920,functional
40569,functional
54848,non functional
39915,functional
17466,functional
2688,functional
34427,non functional
73333,non functional
71561,functional
15400,functional needs repair
63890,functional
5541,functional
8059,non functional
68469,non functional
46849,non functional
9673,non functional
4551,functional
22700,non functional
45945,functional
44046,functional
3559,non functional
69794,functional
50574,functional
67740,non functional
3303,functional needs repair
4265,non functional
2410,functional
45175,functional
6272,functional
9419,non functional
18818,functional
21773,functional
6834,functional
20703,functional
20370,non functional
49500,non functional
68855,functional
69892,non functional
23701,non functional
47274,functional
3652,non functional
697,functional
32916,non functional
20129,non functional
44349,functional
40318,functional
40924,functional needs repair
19709,functional needs repair
27905,non functional
67550,functional
7069,non functional
22724,functional
10033,functional needs repair
25533,functional
48949,non functional
44639,functional
38074,functional needs repair
24905,functional
44366,functional
46047,non functional
35088,functional
1606,functional
7506,functional
65126,functional
1253,functional
48644,functional
49790,functional
72922,non functional
13868,functional
29968,functional
31313,functional
9169,non functional
23273,functional
67608,functional
10434,non functional
46437,non functional
9082,functional
26239,functional needs repair
49222,functional
42230,non functional
36564,functional
53783,functional needs repair
74015,non functional
5714,functional
16888,non functional
73250,non functional
69553,non functional
25853,functional
68515,functional
24213,functional needs repair
13656,non functional
22103,functional
13148,functional needs repair
56973,functional needs repair
22036,functional needs repair
1236,functional
29649,non functional
7817,functional
28006,non functional
33384,functional
50703,functional
5569,functional
53099,functional
70426,functional
46265,functional
31591,functional
14909,functional
19499,non functional
67545,functional
40957,functional
62799,non functional
69641,functional
34762,non functional
53693,functional
31254,functional
26758,functional
43947,functional
15349,functional
63171,functional
51712,functional
70403,functional
70594,functional
53614,functional
38458,functional
29720,functional
58284,functional needs repair
54432,functional needs repair
18644,functional
65007,functional
52109,non functional
40827,non functional
21720,functional
4916,functional
9245,non functional
35861,non functional
73807,non functional
21002,functional needs repair
1125,non functional
26226,non functional
28951,functional
15383,functional needs repair
70366,functional
4475,non functional
21104,non functional
1503,non functional
30136,non functional
66430,non functional
3647,non functional
49185,functional
14762,functional
34843,functional
2073,functional
50819,non functional
18416,non functional
2072,non functional
36570,functional
2746,non functional
14991,functional needs repair
67211,functional
48532,functional
58956,non functional
66040,functional
36739,functional
16207,functional
68179,functional
27369,functional needs repair
30807,non functional
45607,functional
53618,functional needs repair
1491,functional
68594,functional
62841,functional
43805,non functional
71582,functional
52559,functional needs repair
16728,non functional
34988,functional
33724,functional
52898,non functional
30781,non functional
40425,functional
56556,functional
29522,functional needs repair
40717,functional
12499,functional needs repair
58681,non functional
35781,non functional
36175,non functional
9897,functional
70422,functional needs repair
18518,non functional
15681,non functional
41923,functional
51319,non functional
8836,functional
60631,functional
41673,functional
32776,functional
43353,non functional
793,functional needs repair
50202,functional
28128,functional
43748,functional
19797,non functional
47823,functional
29819,functional needs repair
6298,functional
38793,non functional
47216,functional
17344,non functional
24183,non functional
37038,functional
10625,non functional
32256,functional
25837,non functional
41109,non functional
51139,functional
73552,non functional
64338,functional
21252,functional
6714,functional
35993,functional
8555,non functional
15147,functional
40589,non functional
33347,non functional
33000,functional
19255,functional
54569,functional
29115,non functional
32042,non functional
21071,non functional
54914,functional
39475,functional
61860,functional
16335,functional
44197,non functional
48066,non functional
19045,functional needs repair
36677,non functional
33507,functional
28667,functional
48061,non functional
38770,functional
11799,functional
27622,non functional
69731,functional
42710,functional
47073,functional
51456,functional
45072,functional
49759,functional
23188,non functional
17606,functional
6194,functional
66598,non functional
5859,functional
38849,functional needs repair
27703,non functional
52824,functional
12191,functional
60879,functional needs repair
58385,non functional
49007,non functional
49731,functional
70165,non functional
11683,functional
45746,functional
20353,non functional
12784,non functional
4915,functional
29615,non functional
59280,functional
9378,functional
7232,functional
72164,functional
17753,non functional
43938,functional
20580,functional
62369,functional
12648,functional
27617,non functional
18887,non functional
226,functional
33550,non functional
17201,functional
44095,non functional
8923,functional
38164,functional needs repair
45545,non functional
56007,functional
803,non functional
18952,functional
54969,functional
18941,non functional
8244,functional
60125,non functional
40084,functional
6149,functional needs repair
27719,non functional
63220,functional
52712,functional
41053,non functional
17468,non functional
1728,functional
23486,functional
58554,non functional
42799,non functional
10093,functional
3318,functional
17802,functional
16637,functional
28370,functional
62275,non functional
58784,non functional
53445,non functional
10749,functional
26565,functional
5375,non functional
2152,functional needs repair
73339,non functional
9145,functional
57962,functional
22288,non functional
31942,functional
11140,functional needs repair
62412,functional
40364,functional needs repair
28877,functional needs repair
64239,functional
14658,functional
38524,functional
56584,functional
17258,functional needs repair
43941,functional needs repair
23230,functional
48089,functional needs repair
61494,non functional
45086,non functional
14576,non functional
34000,non functional
63720,functional
16139,non functional
16553,functional
43583,functional
26676,functional
63848,non functional
49083,non functional
22672,functional needs repair
2559,non functional
58260,functional
25570,functional
43897,functional
4976,non functional
52448,functional
65528,non functional
8934,functional
24965,functional
66425,non functional
20162,functional
51173,non functional
16065,functional
67192,non functional
69710,functional needs repair
52094,functional
31269,non functional
59309,functional
26863,non functional
553,functional
10162,functional
43776,functional
47973,non functional
5611,functional
54831,functional
73498,functional
69129,functional
30895,functional
59146,functional
58079,functional
42026,non functional
60693,functional
12792,non functional
55141,non functional
22293,non functional
65508,functional
5084,non functional
14481,non functional
28763,functional
17803,non functional
23961,non functional
67806,functional needs repair
70349,functional
30111,functional
7549,functional
15713,functional
63004,functional needs repair
35338,functional
55,functional
29468,functional
22490,non functional
41339,functional
60971,functional needs repair
58202,non functional
32809,functional
31037,functional
26632,functional
2334,functional
25275,non functional
6617,non functional
59609,non functional
67735,non functional
46521,functional
65574,functional
47596,functional
8420,functional
21108,non functional
4288,non functional
6302,non functional
64162,functional needs repair
57790,non functional
36633,functional
2628,functional
18877,functional
36929,functional
13925,functional
44744,non functional
58216,functional needs repair
16312,non functional
54149,non functional
40073,functional
48819,non functional
44097,functional
67060,functional
36190,functional
16300,non functional
55028,functional
19950,non functional
14061,functional
61188,functional
40930,functional
62259,functional
36591,non functional
42186,non functional
18474,functional
41419,non functional
61681,non functional
69593,non functional
18176,functional
70512,functional
65629,non functional
19243,non functional
33623,non functional
71811,non functional
35907,functional
47639,non functional
26017,non functional
21186,functional
49371,functional
65234,non functional
48480,functional
74121,functional
59334,functional
21567,non functional
9960,functional
66005,non functional
9244,non functional
54486,functional
16180,functional
25741,functional
65111,non functional
42033,non functional
66099,functional
39997,non functional
5768,non functional
21212,non functional
17682,non functional
33040,non functional
48892,functional
70039,functional
61754,functional needs repair
16648,functional
69941,functional
63418,functional
23380,functional
30790,non functional
51728,functional
9454,functional
39684,non functional
52910,functional
23056,non functional
20355,functional
26000,non functional
10517,functional
61568,non functional
43338,non functional
12650,non functional
23565,functional
26395,non functional
25355,non functional
26008,functional
16626,non functional
26578,non functional
73062,functional
28728,functional
47755,non functional
23179,functional
61119,functional
48562,non functional
53032,non functional
6960,non functional
67092,functional
48601,functional
56903,functional
22650,functional
11190,functional
30724,functional
38304,functional
29703,functional
40685,non functional
13462,functional
9426,functional
64479,non functional
49174,functional
36926,non functional
51320,functional
56561,functional
4606,non functional
41868,functional
68335,non functional
4439,functional needs repair
15786,functional
59433,functional needs repair
55671,non functional
69706,functional
1394,non functional
59769,functional
25426,non functional
66318,non functional
4573,non functional
38774,functional
9294,functional
51367,functional
40016,functional
51141,functional
27450,functional
49691,functional needs repair
61044,non functional
8432,non functional
53924,non functional
39266,functional
30357,functional
49367,functional
14745,non functional
59627,functional
40096,functional
51493,non functional
25915,functional
18361,functional
31573,non functional
68437,functional
1145,functional
5955,functional
13322,functional
21093,non functional
22626,non functional
17036,functional
49253,functional
48692,functional
20736,non functional
21501,non functional
60790,functional
35370,non functional
61869,functional needs repair
45837,non functional
43565,functional
21202,non functional
24053,functional
26425,functional needs repair
69121,non functional
42639,non functional
29655,functional needs repair
47794,non functional
21960,functional
20269,functional
57658,functional needs repair
23291,functional
47039,functional
63035,non functional
35024,functional
58865,functional
15918,non functional
62601,non functional
2496,non functional
31821,non functional
31020,functional
23620,functional
5067,functional needs repair
1963,functional
21231,functional
24029,functional
13235,non functional
23668,functional
34238,functional
37794,non functional
20964,functional needs repair
40324,functional
53414,non functional
61856,functional
24675,functional
12633,functional
63782,non functional
20644,functional
235,non functional
41130,functional
22631,functional
27835,functional
20005,functional
32064,non functional
5484,non functional
65336,functional
9777,functional
66866,non functional
13888,non functional
16386,non functional
70574,non functional
5968,functional
5545,non functional
59060,functional
15214,functional
6366,functional
73916,functional
24711,functional
52446,functional
19622,functional
72531,functional needs repair
27852,functional
11342,non functional
70061,non functional
12756,functional
34586,functional
60591,non functional
66277,functional
21403,functional
54046,functional
57979,functional
41685,non functional
69552,non functional
45001,functional
31373,non functional
59281,non functional
434,functional
56996,functional
17613,functional
43446,functional
48137,non functional
34598,functional
24047,functional
68585,non functional
64661,functional
51636,functional
7325,functional
44447,functional
12167,non functional
71205,functional
21833,functional
28589,functional
14571,functional
5465,functional
49128,non functional
7598,non functional
9616,non functional
62529,functional
29428,functional needs repair
45255,functional
32819,functional
68906,functional
55430,non functional
62097,functional
45081,non functional
40420,non functional
7633,functional
30170,non functional
42220,non functional
51276,functional
27763,functional
65605,functional needs repair
4946,non functional
7358,functional needs repair
596,non functional
66495,non functional
69599,functional
31401,non functional
70285,non functional
36155,functional
38364,functional
55166,functional
13522,non functional
46774,functional
44498,functional
5629,functional
28432,non functional
4607,non functional
45919,non functional
58241,functional
56108,non functional
44943,functional
58959,functional
67481,functional
44326,functional
8168,non functional
69729,non functional
47701,non functional
50962,non functional
48229,functional
2936,functional
63734,non functional
14886,non functional
15567,functional
14253,functional
36776,non functional
50839,non functional
53936,non functional
4431,functional
57418,non functional
71394,non functional
68750,non functional
19841,functional
6399,non functional
57559,functional needs repair
68923,functional
61537,non functional
51104,functional
60649,non functional
18947,functional
783,functional
32491,functional
50018,non functional
28341,functional
36933,functional
70256,functional
29704,functional
59816,functional
22571,non functional
311,functional
16814,functional
43674,functional needs repair
39181,functional
46492,functional
72430,non functional
62804,functional
14969,functional
15409,functional
40758,functional
29141,non functional
13311,non functional
46304,functional
29678,functional
21147,non functional
20378,non functional
65475,functional
72295,non functional
23121,non functional
55038,non functional
15124,non functional
15218,functional
40145,non functional
37873,non functional
12223,functional
15688,functional
11570,non functional
48858,functional
16083,functional needs repair
26286,functional
70417,functional
40814,functional
45440,functional needs repair
59730,non functional
50543,functional
10764,functional
1298,non functional
2421,non functional
71103,functional
28328,non functional
14337,functional
56894,functional
10782,non functional
67591,functional
3957,non functional
6945,non functional
40131,functional
20036,non functional
64237,functional
53864,non functional
34637,functional
28673,functional
55946,non functional
29642,non functional
59787,non functional
11037,functional
33170,functional
63479,non functional
21506,non functional
72879,non functional
71513,non functional
56842,non functional
24846,functional needs repair
57589,non functional
59229,functional
45044,functional
56774,non functional
28187,functional
27184,functional needs repair
31455,functional
5957,functional
32799,non functional
4683,functional
60092,non functional
41655,functional needs repair
10163,functional
67217,functional
59495,non functional
12898,functional needs repair
20758,functional needs repair
40028,non functional
28032,functional
36117,non functional
43810,functional
34716,non functional
44801,non functional
71907,functional needs repair
26591,functional
58579,non functional
31888,non functional
53008,functional
28886,functional
7987,functional
44358,non functional
42605,non functional
58030,functional
29191,non functional
2121,non functional
65587,non functional
9759,functional
62632,non functional
54316,functional
13856,non functional
56437,non functional
18304,functional needs repair
46572,functional
8962,functional needs repair
37584,non functional
61112,non functional
47462,non functional
64999,functional
67430,non functional
56787,functional
62272,functional
26416,functional
25489,non functional
38626,functional
8043,functional
35983,non functional
41662,functional
3260,functional
6389,non functional
68183,non functional
36255,non functional
19464,non functional
70328,non functional
9849,functional
36412,functional
70405,non functional
48370,non functional
64734,functional needs repair
19543,non functional
25485,functional
37313,functional
24610,functional
46748,non functional
56785,non functional
31260,non functional
37372,functional
35881,functional
42391,non functional
40523,functional
24455,functional
17323,non functional
7402,functional
69432,non functional
13305,functional
5426,functional
16868,functional
16130,functional
8909,functional needs repair
6234,functional
39176,functional
16178,non functional
64609,functional
16923,functional
74013,functional
51081,functional
19808,functional
41474,non functional
72217,functional
51978,functional needs repair
52085,functional
14702,functional
16658,functional needs repair
55244,non functional
29652,functional
6434,non functional
30592,functional needs repair
32321,functional
25156,functional needs repair
6285,functional
69669,non functional
45818,non functional
29255,functional
18195,functional
65666,non functional
68785,functional
808,functional
65486,functional
47500,functional
35162,functional
25563,functional
7182,functional
10607,non functional
73658,functional
58816,functional needs repair
24917,non functional
64204,non functional
45732,functional
13982,functional needs repair
17220,functional
40034,functional
15290,functional
14172,functional
65195,non functional
69725,non functional
31251,non functional
62815,non functional
30124,non functional
58863,functional needs repair
25584,non functional
67126,functional
16238,functional
1375,non functional
39620,functional
7788,functional
9087,functional needs repair
6519,functional
64733,functional needs repair
45731,non functional
41689,non functional
34768,functional needs repair
48117,non functional
39425,functional
64206,functional
62697,functional
61079,functional
17203,non functional
10254,functional
46779,functional
65171,functional
68962,functional needs repair
14895,functional
27611,non functional
40679,non functional
17810,non functional
11085,functional needs repair
10665,non functional
40475,non functional
36778,non functional
52634,non functional
36225,functional
24631,functional
50075,functional needs repair
11894,functional
21161,non functional
26318,functional
69636,functional
30740,non functional
28679,non functional
60116,non functional
11293,non functional
43108,non functional
25561,functional
45012,functional
46138,functional
24505,functional
39596,functional
37875,functional
53961,functional
39958,functional
35728,functional
59718,non functional
71452,non functional
54761,functional
57209,non functional
25091,non functional
51722,functional
57886,functional
1990,non functional
10916,non functional
4905,functional
31650,functional
25138,non functional
64216,non functional
10060,functional
56763,functional
56983,functional
48232,functional
67877,non functional
6,non functional
38480,functional
50585,functional
11097,functional
54513,functional needs repair
23747,functional needs repair
54023,functional
68045,non functional
71616,non functional
49576,functional
56501,functional
45624,non functional
27800,non functional
72672,non functional
67684,non functional
72966,functional
12801,functional
33999,functional needs repair
19657,functional
8808,non functional
48285,functional
16930,functional needs repair
74001,functional
31149,non functional
71297,functional
60648,functional
10993,non functional
34920,functional
3928,non functional
19095,functional
38596,functional
36910,functional
73880,non functional
60537,non functional
36188,functional
69765,non functional
10547,functional
27731,functional
33627,functional
7331,functional
4629,functional
37043,functional
54267,functional needs repair
30829,functional
70707,non functional
21490,non functional
56327,functional
7572,non functional
48851,non functional
28116,functional
53072,functional
7391,non functional
58151,non functional
5282,functional
7403,functional
10342,functional
41386,functional needs repair
21330,functional
7396,functional
74242,functional
52098,functional
27105,non functional
1977,functional
7692,non functional
49900,non functional
4106,functional
37070,functional needs repair
